n,network_type,logic_type,mean_slope,std_slope,mean_convergence_time,std_convergence_time,mean_final_disagreement,std_final_disagreement,mean_topic1_disagreement,mean_topic2_disagreement,mean_topic3_disagreement,convergence_rate,actual_repeats,repeat_stop_reason,slope_ci_half_width,slope_ci_target,mean_slope_from_mean_distance,mean_intercept_from_mean_distance
8,cycle_baseline,heterogeneous_cascade,-0.08724735034577917,0.004304065642969443,176.9,13.278637815010324,7.295931403768292e-08,1.9124778424110587e-08,4.7394479727634056e-08,4.739447972231482e-08,4.7394479732797794e-08,1.0,10,ci_stable,0.0026676875236094615,0.008724735034577918,-0.08439070100591037,-0.8333585772426908
8,cycle_baseline,independent,-0.09090674925138788,0.006843191460411984,172.3,13.466419139639331,8.069538000542846e-08,2.633159761775547e-08,3.676792152915672e-08,4.96171572081685e-08,4.9874694939514814e-08,1.0,10,ci_stable,0.004241454009985105,0.009090674925138788,-0.08544781292180983,-0.967280773766243
8,random_strong,cascade,-0.2755516147590196,0.10850140044264105,69.5,23.176608302635508,3.169856902248379e-08,3.42980357778473e-08,2.1292590621746763e-08,2.12925906216647e-08,2.1292590621199646e-08,1.0,30,max_repeats_reached,0.038826727501645876,0.02755516147590196,-0.1406931643213757,-2.7578071587202904
8,random_strong,heterogeneous_cascade,-0.25804623526158355,0.10400093506493911,74.36666666666666,29.37801586377055,4.434171698442748e-08,5.0414968159004384e-08,3.100537166489288e-08,3.100537177395195e-08,3.102561922707548e-08,1.0,30,max_repeats_reached,0.037216256649308804,0.025804623526158355,-0.08083624099304362,-5.136980975807597
8,random_strong,independent,-0.32270602737377707,0.12060036404419436,62.9,26.261746140438333,2.6701756491713483e-08,2.2570946787597443e-08,1.7592828967538275e-08,1.4756797333992126e-08,1.556831773715277e-08,1.0,30,max_repeats_reached,0.04315628602248894,0.0322706027373777,-0.11063071038036147,-3.2246236011864586
8,scale_free,cascade,-0.48853466507404447,0.09159541390303913,37.85,8.875009266118216,6.060596431604479e-09,8.912841463018122e-09,4.247592760537195e-09,4.247592761832424e-09,4.247592745946636e-09,1.0,20,ci_stable,0.040143460095227256,0.04885346650740445,-0.24103369246932488,-3.40515883012732
8,scale_free,heterogeneous_cascade,-0.5060281596455158,0.048720572474423726,35.2,2.8596814119369616,2.485233895290765e-09,3.176091428303566e-09,1.3723104142837638e-09,1.3723106069289967e-09,1.925380920629506e-09,1.0,10,ci_stable,0.03019732367359098,0.05060281596455159,-0.48634380607506084,-0.9774911287735416
8,scale_free,independent,-0.6663606868103241,0.19084105589905917,30.9,6.16637153689546,3.8199261533763975e-09,4.092129063966327e-09,2.5988554204350392e-09,2.2156975005828014e-09,2.0093899051220452e-09,1.0,30,max_repeats_reached,0.06829159479315913,0.06663606868103245,-0.44979270476362504,-1.8433146693836073
8,small_world,cascade,-0.5245352597338384,0.015676851948452166,34.6,1.0749676997731392,2.9385472665885044e-11,6.237922948286152e-11,1.921377298567653e-11,1.921377582345531e-11,1.9213773848220605e-11,1.0,10,ci_stable,0.009716613504878052,0.052453525973383854,-0.519371498934888,-0.6519714159146567
8,small_world,heterogeneous_cascade,-0.5424184248684211,0.04554817915871647,33.1,2.4244128727957572,9.093779720815719e-10,5.210319924634976e-10,1.1142798574010888e-10,1.1142056552966499e-10,1.0179941445249862e-09,1.0,10,ci_stable,0.028231053925331383,0.05424184248684211,-0.5099516963535394,-1.0103430162508897
